,Merge,Conf_details,Conf_methods,Loc,Block,Loc_details
0,3c3bfc56242810ad6014da883b3dc9809244bd99,packages/SystemUI/tests/src/com/android/systemui/qs/tiles/dialog/InternetDialogTest.java,"['void com.android.systemui.qs.tiles.dialog.InternetDialogTest.updateDialog_wifiOn_hideWifiScanNotify()', 'void com.android.systemui.qs.tiles.dialog.InternetDialogTest.updateDialog_wifiOn_hideWifiScanNotify()', 'void com.android.systemui.qs.tiles.dialog.InternetDialogTest.updateDialog_wifiOn_hideWifiScanNotify()', 'void com.android.systemui.qs.tiles.dialog.InternetDialogTest.updateDialog_wifiOn_hideWifiScanNotify()']",4,4,"[(277, 277, 1), (277, 277, 1), (277, 277, 1), (277, 277, 1)]"
1,3f36a7788267a572e10d7839edaf49db9ddc9ab8,packages/SystemUI/src/com/android/keyguard/LockIconView.java,['void com.android.keyguard.LockIconView.updateColorAndBackgroundVisibility(boolean)'],4,3,"[(63, 64, 2), (0, 0, 0), (54, 55, 2)]"
2,3f36a7788267a572e10d7839edaf49db9ddc9ab8,packages/SystemUI/src/com/android/keyguard/LockIconViewController.java,[],0,1,"[(0, 0, 0)]"
3,3f36a7788267a572e10d7839edaf49db9ddc9ab8,services/core/java/com/android/server/display/DisplayModeDirector.java,"['void com.android.server.display.DisplayModeDirector.HbmObserver.onDisplayChanged(int)', 'void com.android.server.display.DisplayModeDirector.HbmObserver.recalculateVotesForDisplay(int)']",17,7,"[(0, 0, 0), (0, 0, 0), (0, 0, 0), (2363, 2364, 2), (0, 0, 0), (2382, 2396, 15), (0, 0, 0)]"
4,3f36a7788267a572e10d7839edaf49db9ddc9ab8,packages/SystemUI/src/com/android/systemui/biometrics/UdfpsKeyguardViewController.java,"['void com.android.systemui.biometrics.UdfpsKeyguardViewController.<init>(UdfpsKeyguardView,StatusBarStateController,StatusBar,StatusBarKeyguardViewManager,KeyguardUpdateMonitor,DelayableExecutor,DumpManager,KeyguardViewMediator,LockscreenShadeTransitionController,ConfigurationController,KeyguardStateController,UdfpsController)']",2,6,"[(38, 38, 1), (0, 0, 0), (86, 86, 1), (0, 0, 0), (0, 0, 0), (0, 0, 0)]"
5,3f36a7788267a572e10d7839edaf49db9ddc9ab8,packages/SystemUI/src/com/android/systemui/biometrics/UdfpsEnrollProgressBarDrawable.java,"['void com.android.systemui.biometrics.UdfpsEnrollProgressBarDrawable.setEnrollmentProgress(int,int)', 'void com.android.systemui.biometrics.UdfpsEnrollProgressBarDrawable.<init>(Context)', 'void com.android.systemui.biometrics.UdfpsEnrollProgressBarDrawable.setEnrollmentProgress(int)', 'void com.android.systemui.biometrics.UdfpsEnrollProgressBarDrawable.setEnrollmentProgress(int)', 'void com.android.systemui.biometrics.UdfpsEnrollProgressBarDrawable.setEnrollmentProgress(int)', 'void com.android.systemui.biometrics.UdfpsEnrollProgressBarDrawable.onLastStepAcquired()']",50,5,"[(38, 58, 21), (62, 80, 19), (85, 90, 6), (95, 95, 1), (102, 104, 3)]"
6,3f36a7788267a572e10d7839edaf49db9ddc9ab8,services/tests/servicestests/src/com/android/server/display/DisplayModeDirectorTest.java,"['void com.android.server.display.DisplayModeDirectorTest.testHbmVoting_forSunlight()', 'void com.android.server.display.DisplayModeDirectorTest.testHbmVoting_forSunlight()']",2,3,"[(0, 0, 0), (1534, 1534, 1), (1517, 1517, 1)]"
7,3f36a7788267a572e10d7839edaf49db9ddc9ab8,packages/SystemUI/src/com/android/systemui/statusbar/KeyguardIndicationController.java,['void com.android.systemui.statusbar.KeyguardIndicationController.showActionToUnlock()'],1,1,"[(813, 813, 1)]"
8,3f36a7788267a572e10d7839edaf49db9ddc9ab8,packages/SystemUI/tests/src/com/android/systemui/statusbar/phone/NotificationShadeWindowViewTest.java,[],0,1,"[(0, 0, 0)]"
9,3f36a7788267a572e10d7839edaf49db9ddc9ab8,packages/SystemUI/src/com/android/systemui/biometrics/AuthController.java,[],0,1,"[(0, 0, 0)]"
